,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,65.0,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,65.5,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,66.0,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,66.5,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,67.0,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,67.5,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,68.0,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,68.5,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,69.0,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,69.5,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,70.0,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,70.5,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,71.0,,,,,,,,,,,,,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,71.5,,,,,,,,,,,,,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,72.0,,,,,,,,,,,,,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,219.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,72.5,,,,,,,,,,,,,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,219.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,73.0,,,,,,,,,,,,,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,219.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,73.5,,,,,,,,,,,,,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,219.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,74.0,,,,,,,,,,,,,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,219.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,74.5,,,,,,,,,,,,,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,219.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,75.0,,,,,,,,,,,,,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,219.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,75.5,,,,,,,,,,,,,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,219.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,76.0,,,,,,,,,,,,,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,218.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,76.5,,,,,,,,,,,,,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,217.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
