,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,1,,,,,,,,,,,,,12.01,12.05,12.03,12.03,12.02,12.01,12.01,12.01,12.00,12.00,12.00,12.01,12.01,12.05,12.04,12.02,12.02,12.01,12.01,12.01,12.00,12.00,12.00,12.02,12.01,12.05,12.03,12.03,12.02,12.01,12.01,12.01,12.00,12.00,12.00,12.02,12.01,12.05,12.04,12.02,12.02,12.01,12.01,12.00,12.00,12.00,12.00,12.02,16.16,15.31,13.47,13.03,15.62,15.75,14.26,14.45,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,15.22,14.02,14.23,14.38,15.82,15.94,16.42,15.64,15.99,14.79,15.80,12.01,12.01,12.02,12.01
2,2,,,,,,,,,,,,,12.03,12.09,12.07,12.05,12.04,12.02,12.01,12.01,12.01,12.00,12.00,12.03,12.02,12.08,12.07,12.05,12.04,12.02,12.01,12.01,12.01,12.01,12.00,12.03,12.02,12.09,12.07,12.05,12.03,12.02,12.01,12.01,12.01,12.00,12.00,12.03,12.03,12.10,12.07,12.05,12.03,12.02,12.01,12.01,12.01,12.00,12.00,12.03,16.66,14.39,16.85,14.11,15.43,13.78,16.72,15.30,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.01,12.00,15.25,16.08,16.03,16.84,14.84,14.84,15.35,13.11,13.47,13.27,15.53,12.03,12.02,12.04,12.02
3,3,,,,,,,,,,,,,12.05,12.17,12.12,12.10,12.06,12.03,12.03,12.02,12.01,12.01,12.01,12.06,12.05,12.17,12.15,12.10,12.07,12.04,12.02,12.02,12.01,12.01,12.01,12.06,12.05,12.16,12.11,12.11,12.07,12.03,12.03,12.02,12.01,12.01,12.01,12.05,12.05,12.19,12.15,12.09,12.07,12.04,12.03,12.02,12.01,12.01,12.01,12.06,14.91,15.16,15.01,14.57,15.75,13.70,16.91,15.79,12.00,12.00,12.00,12.01,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.01,12.00,15.00,13.84,15.80,14.49,16.42,14.12,13.72,13.52,15.30,13.91,13.40,12.05,12.03,12.08,12.04
4,4,,,,,,,,,,,,,12.09,12.35,12.23,12.20,12.12,12.07,12.05,12.04,12.02,12.02,12.01,12.11,12.09,12.33,12.26,12.19,12.13,12.07,12.05,12.04,12.02,12.02,12.01,12.11,12.09,12.31,12.21,12.18,12.14,12.06,12.05,12.04,12.03,12.02,12.01,12.10,12.10,12.33,12.27,12.18,12.13,12.07,12.05,12.03,12.02,12.02,12.01,12.11,15.29,16.40,13.29,13.65,13.91,14.27,14.17,14.07,12.01,12.00,12.00,12.01,12.00,12.00,12.00,12.00,12.01,12.00,12.00,12.02,12.00,15.80,13.32,13.67,13.41,13.26,16.51,15.19,13.11,14.59,16.06,13.33,12.09,12.06,12.15,12.09
5,5,,,,,,,,,,,,,12.18,12.61,12.44,12.38,12.22,12.14,12.09,12.07,12.05,12.03,12.02,12.22,12.17,12.61,12.50,12.37,12.26,12.13,12.09,12.07,12.04,12.03,12.02,12.22,12.17,12.61,12.44,12.38,12.25,12.11,12.09,12.07,12.04,12.04,12.03,12.19,12.18,12.60,12.53,12.35,12.24,12.12,12.09,12.06,12.04,12.03,12.02,12.21,15.24,14.58,13.65,15.95,14.56,14.51,14.05,14.69,12.01,12.00,12.00,12.03,12.00,12.01,12.00,12.01,12.01,12.00,12.00,12.04,12.00,15.47,14.09,15.49,13.75,13.08,13.20,15.14,13.74,13.41,14.08,15.86,12.18,12.12,12.27,12.16
6,6,,,,,,,,,,,,,12.35,13.19,12.91,12.75,12.44,12.27,12.18,12.14,12.09,12.06,12.05,12.38,12.33,13.16,13.01,12.70,12.51,12.24,12.19,12.13,12.09,12.06,12.05,12.39,12.32,13.23,12.84,12.75,12.48,12.23,12.18,12.13,12.09,12.07,12.05,12.38,12.34,13.25,12.93,12.66,12.49,12.24,12.16,12.12,12.09,12.06,12.04,12.39,16.16,13.04,13.17,16.13,14.90,15.38,14.49,13.36,12.03,12.01,12.01,12.05,12.00,12.01,12.00,12.01,12.03,12.00,12.00,12.07,12.00,16.15,16.03,16.22,14.75,13.77,15.76,14.43,13.54,16.59,14.94,14.75,12.33,12.24,12.52,12.30
7,7,,,,,,,,,,,,,12.67,14.40,13.62,13.41,12.90,12.50,12.33,12.25,12.17,12.12,12.08,12.72,12.64,14.28,13.78,13.20,12.98,12.50,12.33,12.26,12.16,12.12,12.09,12.80,12.62,14.29,13.64,13.31,12.95,12.40,12.35,12.23,12.18,12.13,12.10,12.69,12.68,14.22,13.87,13.25,12.92,12.48,12.34,12.22,12.16,12.13,12.08,12.83,13.83,14.97,16.56,13.32,16.20,13.24,15.23,16.75,12.05,12.01,12.02,12.10,12.01,12.02,12.01,12.02,12.05,12.00,12.01,12.14,12.00,13.76,15.10,14.00,15.50,13.72,16.00,14.66,13.42,15.55,14.43,14.83,12.67,12.48,12.99,12.58
8,8,,,,,,,,,,,,,13.29,16.37,15.05,14.76,13.62,12.93,12.65,12.53,12.32,12.23,12.17,13.46,13.24,16.50,15.59,14.36,13.85,12.98,12.64,12.52,12.31,12.23,12.17,13.63,13.21,16.35,15.29,14.51,13.73,12.78,12.70,12.44,12.35,12.26,12.18,13.39,13.31,16.75,15.39,14.15,13.69,12.86,12.63,12.44,12.31,12.25,12.16,13.49,16.67,15.94,15.89,16.17,13.69,16.30,15.76,15.30,12.11,12.03,12.03,12.19,12.02,12.04,12.02,12.04,12.09,12.01,12.01,12.28,12.01,13.91,15.61,15.41,13.05,16.11,14.53,14.22,13.16,15.16,13.60,15.01,13.20,12.82,14.05,13.14
9,9,,,,,,,,,,,,,14.48,20.65,18.13,16.77,15.04,13.79,13.21,12.91,12.63,12.42,12.30,14.67,14.30,20.80,18.47,16.46,15.46,13.77,13.29,12.90,12.60,12.47,12.31,14.76,14.37,20.12,18.24,16.66,15.48,13.54,13.25,12.88,12.65,12.46,12.34,14.82,14.52,21.16,18.75,16.19,15.10,13.81,13.17,12.81,12.64,12.48,12.31,14.72,16.80,16.71,16.48,16.28,13.05,15.78,13.45,14.80,12.19,12.05,12.06,12.34,12.03,12.08,12.03,12.08,12.17,12.02,12.02,12.52,12.02,13.17,13.68,14.14,16.16,15.47,13.21,15.62,13.03,14.55,14.09,16.41,14.45,13.76,15.57,14.31
10,10,,,,,,,,,,,,,16.87,27.73,23.52,22.08,17.67,15.40,14.55,13.85,13.15,12.85,12.58,17.72,16.12,27.67,25.06,20.78,18.47,15.24,14.37,13.76,13.15,12.84,12.65,17.60,16.56,28.15,23.86,21.93,18.79,14.80,14.46,13.68,13.18,12.98,12.69,16.79,16.68,29.44,25.20,20.54,18.09,15.22,14.23,13.68,13.24,12.86,12.63,17.32,13.55,15.17,16.20,16.45,14.24,15.82,15.10,13.54,12.41,12.11,12.11,12.72,12.07,12.15,12.06,12.16,12.33,12.03,12.05,13.01,12.03,16.52,14.66,14.65,14.77,16.74,16.58,16.73,14.10,16.12,13.43,13.74,16.75,15.26,19.07,16.26
